"participant","block","trial","correct","latency"
8,"test.sc_dark.Darkgood","darkright",1,451
8,"test.sc_dark.Darkgood","darkright",1,533
8,"test.sc_dark.Darkgood","goodright",1,606
8,"test.sc_dark.Darkgood","goodright",1,470
8,"test.sc_dark.Darkgood","darkright",1,474
8,"test.sc_dark.Darkgood","goodright",1,638
8,"test.sc_dark.Darkgood","goodright",1,629
8,"test.sc_dark.Darkgood","badleft",1,649
8,"test.sc_dark.Darkgood","badleft",1,1059
8,"test.sc_dark.Darkgood","darkright",1,406
8,"test.sc_dark.Darkgood","darkright",1,552
8,"test.sc_dark.Darkgood","goodright",1,1020
8,"test.sc_dark.Darkgood","badleft",0,853
8,"test.sc_dark.Darkgood","badleft",0,694
8,"test.sc_dark.Darkgood","goodright",1,1104
8,"test.sc_dark.Darkgood","badleft",1,507
8,"test.sc_dark.Darkgood","badleft",0,503
8,"test.sc_dark.Darkgood","goodright",1,892
8,"test.sc_dark.Darkgood","badleft",1,509
8,"test.sc_dark.Darkgood","badleft",1,769
8,"test.sc_dark.Darkgood","badleft",1,463
8,"test.sc_dark.Darkgood","badleft",1,900
8,"test.sc_dark.Darkgood","goodright",1,509
8,"test.sc_dark.Darkgood","darkright",1,529
8,"test.sc_dark.Darkgood","badleft",1,1027
8,"test.sc_dark.Darkgood","darkright",1,510
8,"test.sc_dark.Darkgood","goodright",1,795
8,"test.sc_dark.Darkgood","badleft",1,639
8,"test.sc_dark.Darkgood","darkright",1,517
8,"test.sc_dark.Darkgood","badleft",1,700
8,"test.sc_dark.Darkgood","darkright",1,448
8,"test.sc_dark.Darkgood","goodright",1,695
8,"test.sc_dark.Darkgood","badleft",1,521
8,"test.sc_dark.Darkgood","badleft",0,584
8,"test.sc_dark.Darkgood","badleft",1,1148
8,"test.sc_dark.Darkgood","goodright",1,663
8,"test.sc_dark.Darkgood","badleft",1,547
8,"test.sc_dark.Darkgood","darkright",1,424
8,"test.sc_dark.Darkgood","badleft",1,820
8,"test.sc_dark.Darkgood","darkright",1,400
8,"test.sc_dark.Darkgood","darkright",1,575
8,"test.sc_dark.Darkgood","darkright",1,416
8,"test.sc_dark.Darkbad","goodright",1,915
8,"test.sc_dark.Darkbad","darkleft",1,625
8,"test.sc_dark.Darkbad","darkleft",1,653
8,"test.sc_dark.Darkbad","goodright",1,783
8,"test.sc_dark.Darkbad","badleft",1,515
8,"test.sc_dark.Darkbad","badleft",1,663
8,"test.sc_dark.Darkbad","darkleft",1,531
8,"test.sc_dark.Darkbad","darkleft",1,428
8,"test.sc_dark.Darkbad","badleft",0,1561
8,"test.sc_dark.Darkbad","goodright",1,1646
8,"test.sc_dark.Darkbad","badleft",1,900
8,"test.sc_dark.Darkbad","badleft",1,477
8,"test.sc_dark.Darkbad","goodright",1,532
8,"test.sc_dark.Darkbad","goodright",1,470
8,"test.sc_dark.Darkbad","badleft",1,722
8,"test.sc_dark.Darkbad","darkleft",1,656
8,"test.sc_dark.Darkbad","goodright",1,690
8,"test.sc_dark.Darkbad","goodright",1,547
8,"test.sc_dark.Darkbad","goodright",1,560
8,"test.sc_dark.Darkbad","goodright",1,687
8,"test.sc_dark.Darkbad","badleft",1,557
8,"test.sc_dark.Darkbad","darkleft",1,764
8,"test.sc_dark.Darkbad","badleft",1,626
8,"test.sc_dark.Darkbad","goodright",1,703
8,"test.sc_dark.Darkbad","goodright",0,699
8,"test.sc_dark.Darkbad","goodright",1,1372
8,"test.sc_dark.Darkbad","darkleft",1,700
8,"test.sc_dark.Darkbad","goodright",1,838
8,"test.sc_dark.Darkbad","darkleft",1,580
8,"test.sc_dark.Darkbad","goodright",1,1422
8,"test.sc_dark.Darkbad","goodright",1,718
8,"test.sc_dark.Darkbad","goodright",1,509
8,"test.sc_dark.Darkbad","badleft",1,729
8,"test.sc_dark.Darkbad","goodright",1,1327
8,"test.sc_dark.Darkbad","badleft",1,566
8,"test.sc_dark.Darkbad","darkleft",0,1207
8,"test.sc_dark.Darkbad","goodright",0,1285
8,"test.sc_dark.Darkbad","badleft",1,1723
8,"test.sc_dark.Darkbad","badleft",1,720
8,"test.sc_dark.Darkbad","goodright",1,511
8,"test.sc_dark.Darkbad","goodright",1,579
8,"test.sc_dark.Darkbad","goodright",1,644
8,"test.sc_dark.Darkbad","darkleft",1,502
8,"test.sc_dark.Darkbad","darkleft",1,474
8,"test.sc_dark.Darkbad","badleft",1,638
8,"test.sc_dark.Darkbad","badleft",1,565
8,"test.sc_dark.Darkbad","darkleft",1,503
